## Ideogram.js gene cache for Homo sapiens
## Derived from https://ftp.ensembl.org/pub/release-102/gff3/homo_sapiens/Homo_sapiens.GRCh38.102.gff3.gz
## prefix: ENSG
# chr	start	length	slim_id	symbol	description
10	48443836	1984	279822	AC016397.2	TEC
10	50334538	1585	279863	AC069547.1	TEC
10	70434829	1727	280401	AC022532.1	TEC
10	71364243	2131	279406	AL359183.1	TEC
10	72730557	618	280166	AC016542.3	TEC
10	72756398	618	279502	AC016542.2	TEC
10	73742995	1235	279088	AC022400.6	TEC
10	73769264	3598	279689	AC022400.7	TEC
10	73791218	272	280238	AC022400.8	TEC
10	75450081	1644	279814	AC010997.6	TEC
10	76270206	594	278992	AC012048.1	TEC
10	80249710	4411	279359	AL359195.2	TEC
10	85526880	4235	279910	AL731532.1	TEC
10	85555484	1952	280134	AL731532.2	TEC
10	86948677	1198	281974	AC025268.1	TEC
10	112831169	1285	279315	AL158212.4	TEC
10	114424445	2953	279796	AL133384.2	TEC
10	127734562	2434	279725	AL391005.1	TEC
10	131831910	1598	280446	AL607033.1	TEC
10	131996738	3108	279982	AL162274.3	TEC
11	779617	1138	279672	AP006621.5	TEC
11	5224309	1152	285498	AC104389.7	TEC
11	8075573	2208	279391	AC116456.2	TEC
11	11725332	1370	280288	AC131935.2	TEC
11	20131730	3735	279266	AC068860.1	TEC
11	36196248	1653	280321	AC129502.1	TEC
11	36510361	176	280331	AC061999.1	TEC
11	38013510	631	279004	AC103798.1	TEC
11	40107244	5355	279675	AC080100.1	TEC
11	58627435	1093	280010	AP001350.2	TEC
11	61967794	1696	279491	AP003733.3	TEC
11	65118310	801	278952	AP003068.4	TEC
11	65561484	123	279093	AP001362.1	TEC
11	70603304	1555	279459	AP001271.2	TEC
11	70705605	463	280089	AP000590.1	TEC
11	74204869	877	280269	AP000577.2	TEC
11	74698231	1427	279353	AP001324.3	TEC
11	74830574	1936	278879	AP000560.1	TEC
11	75260129	2337	279117	AP001972.5	TEC
11	79966805	1903	279295	AP001541.1	TEC
11	83083687	451	279900	AP001767.3	TEC
11	85852557	2386	279742	AP000974.1	TEC
11	94559018	356	280167	AP000943.3	TEC
11	116609995	99	278945	AP000770.1	TEC
11	118264593	2224	280032	AP002800.1	TEC
11	126934886	2264	279358	AP002833.3	TEC
11	132403360	700	279090	AP000843.1	TEC
12	3610307	1696	280202	AC005831.1	TEC
12	8080381	1782	279865	AC006511.3	TEC
12	8631545	714	280345	AC092184.2	TEC
12	46404644	2522	278896	AC025031.5	TEC
12	47728151	2447	280054	AC004241.5	TEC
12	47960497	2972	279840	AC004801.7	TEC
12	48189349	1858	279875	AC074029.4	TEC
12	58094914	3099	279134	AC090643.1	TEC
12	58103907	2028	279411	AC090643.2	TEC
12	63151065	2941	279444	AC135584.1	TEC
12	64709458	1055	280181	AC025262.1	TEC
12	67065018	260	279310	AC073530.2	TEC
12	69660034	1395	279551	AC025263.3	TEC
12	70321542	2732	279530	AC092881.1	TEC
12	89544203	285	279939	AC025034.2	TEC
12	97563257	714	279798	AC018659.8	TEC
12	100026248	1292	279148	AC126474.1	TEC
12	100032325	1749	280088	AC126474.2	TEC
12	104552073	1374	279176	AC079316.2	TEC
12	108778912	254	280110	AC087893.3	TEC
12	109997419	1708	280426	AC084876.2	TEC
13	20092632	1512	279951	AL138688.2	TEC
13	20194412	1593	279065	AL138688.1	TEC
13	20712431	1715	279135	AL512652.2	TEC
13	25141536	273	279695	AL359757.2	TEC
13	25190063	254	279550	AL359757.1	TEC
13	28495633	1634	279393	AL139005.1	TEC
13	30196443	438	279499	AL157770.1	TEC
13	30344672	2495	279149	AL356750.1	TEC
13	31960325	1621	279314	AC002525.1	TEC
13	34079411	723	280431	AL160394.2	TEC
13	37142967	3751	279511	AL356274.2	TEC
13	38372856	1079	279025	AL356863.1	TEC
13	43894725	457	280060	AL512506.2	TEC
13	44432144	534	280357	AL138960.2	TEC
13	51921251	336	279677	AL162377.2	TEC
13	52497097	3098	280296	AL137058.3	TEC
13	60730176	3424	279657	AL161901.1	TEC
13	73399031	174	279754	AL162376.1	TEC
13	73800074	2129	280348	AL138713.1	TEC
13	91485793	1077	282864	AL356118.1	TEC
13	92239835	2116	282865	AL157815.1	TEC
13	92446470	2586	283097	AL159152.1	TEC
13	92658994	233	282993	AL356737.1	TEC
13	102299790	482	279702	AL356266.1	TEC
13	106941950	611	279157	AL162574.3	TEC
13	110123208	2026	279965	AL390755.2	TEC
13	110265251	862	279237	AL161773.1	TEC
14	23005499	1624	280129	AL132780.5	TEC
14	23023083	1134	279656	AL132780.4	TEC
14	23530682	1685	273618	AL135999.2	TEC
14	25820366	2375	279521	AL359396.2	TEC
14	30370108	3007	279032	AL079305.1	TEC
14	32879246	3584	280281	AL049781.1	TEC
14	34541044	670	279423	AL445363.3	TEC
14	35086035	2024	279434	AL049776.1	TEC
14	41514972	378	279972	AL356596.1	TEC
14	61801713	1921	279633	AL137918.1	TEC
14	69357010	2298	280073	AL157996.1	TEC
14	73580694	2224	279026	AC005225.4	TEC
14	75011269	1582	279594	AL049780.3	TEC
14	76279173	3930	280078	AC016526.3	TEC
14	91572444	2827	279286	AL133373.3	TEC
14	93895762	1997	279593	AL132642.2	TEC
14	96992864	3737	280070	AL049833.3	TEC
14	98916902	899	278990	AL132796.3	TEC
15	21148334	4636	279595	AC126335.2	TEC
15	25091960	417	279735	AC124312.4	TEC
15	25255579	1448	280234	AC124303.1	TEC
15	32182551	3924	279912	AC068448.1	TEC
15	33105758	478	279958	AC019278.1	TEC
15	34415450	4823	279092	AC025678.3	TEC
15	34978351	1733	279364	AC114546.3	TEC
15	34999902	368	280396	AC114546.4	TEC
15	40244925	2441	279537	AC020658.7	TEC
15	40258501	1869	279409	AC020658.6	TEC
15	47133495	627	284540	AC066615.1	TEC
15	50742702	574	279665	AC012100.3	TEC
15	53910769	3943	280362	AC084759.3	TEC
15	55171378	5361	279145	AC011912.1	TEC
15	74299503	5024	280309	AC023300.3	TEC
15	77063397	1513	278991	AC090181.3	TEC
15	78339208	2549	279694	AC011270.2	TEC
15	78599892	121	279421	AC067863.2	TEC
15	79875920	2259	279394	AC015871.4	TEC
15	82752884	4324	252690	AC105339.2	TEC
15	95280753	3496	280304	AC104260.2	TEC
15	96112628	3423	280048	AC012409.5	TEC
15	96294935	3088	280291	AC016251.1	TEC
15	99497812	563	279846	AC015660.4	TEC
15	100782417	3772	279588	AC087762.2	TEC
15	101299656	1992	279970	AC023024.2	TEC
16	74683	278	278995	Z69720.2	TEC
16	678645	416	279441	Z92544.2	TEC
16	707650	1417	279255	Z97653.2	TEC
16	769119	324	279136	AL031258.1	TEC
16	1437154	2161	279930	AL032819.2	TEC
16	1530715	2586	280062	AL031719.1	TEC
16	1688355	2181	278987	AL031009.1	TEC
16	3273609	2198	279330	AJ003147.3	TEC
16	3292879	524	279031	AC004232.2	TEC
16	3533429	829	278942	AC004494.2	TEC
16	6037210	1767	280000	AC009135.2	TEC
16	6703883	1675	278975	AC007012.2	TEC
16	8666762	509	279357	AC007224.2	TEC
16	10445309	4438	279662	AC131649.2	TEC
16	10933903	2377	280153	AC133065.3	TEC
16	12374355	1677	278979	AC007598.3	TEC
16	17961597	773	280283	AC010601.2	TEC
16	19503861	764	279747	AC130456.6	TEC
16	20487702	1957	280306	AC137056.2	TEC
16	29204633	1222	279106	AC009093.7	TEC
16	31566360	640	278885	AC106730.2	TEC
16	51176066	2832	280344	AC009166.2	TEC
16	56306845	1490	279764	AC009102.3	TEC
16	57140896	3690	279019	AC009090.4	TEC
16	57142652	2284	279803	AC009090.5	TEC
16	58705799	498	279889	AC012183.1	TEC
16	67006672	2809	280334	AC009084.2	TEC
16	67550815	2120	280214	AC027682.7	TEC
16	70768356	429	279815	AC020763.5	TEC
16	75245994	4083	280152	AC009078.3	TEC
16	78166717	1797	279991	AC009044.1	TEC
16	78525189	1346	279887	AC046158.4	TEC
16	78550739	2557	279129	AC046158.3	TEC
16	78872739	766	280115	AC136603.1	TEC
16	78890231	2071	280190	AC027279.4	TEC
16	78981722	121	279732	AC027279.3	TEC
16	79016136	1293	280274	AC009145.4	TEC
16	79675685	2030	279378	AC009159.4	TEC
16	85859521	2491	279907	AC018695.7	TEC
17	1352070	185	280408	AC032044.2	TEC
17	3439923	1921	280268	AC025125.1	TEC
17	4787057	2105	280254	AC233723.2	TEC
17	7192295	153	279812	AC120057.4	TEC
17	7242200	1614	279641	AC120057.3	TEC
17	7858943	7140	280046	AC104581.4	TEC
17	8013327	3051	279174	AC104581.3	TEC
17	8188933	755	279152	AC129492.6	TEC
17	12973033	801	280168	AC005274.1	TEC
17	15365323	554	279567	AC005703.4	TEC
17	18107334	3129	279428	AC087164.2	TEC
17	19855747	417	279251	AC015726.3	TEC
17	30551193	609	279431	AC011840.5	TEC
17	30724982	199	279337	AC127024.7	TEC
17	30738182	2093	280069	AC127024.8	TEC
17	31533171	767	278977	AC003101.3	TEC
17	32051030	2178	278867	AC090616.6	TEC
17	32159311	1060	280033	AC116407.4	TEC
17	32178946	1128	280020	AC116407.3	TEC
17	32504567	1077	280245	AC079336.7	TEC
17	32518322	612	279781	AC079336.6	TEC
17	33099969	350	280349	AC008133.2	TEC
17	34000789	5983	279674	AC123769.1	TEC
17	34614409	400	278860	AC005691.1	TEC
17	38727833	365	279119	AC006449.7	TEC
17	39165073	2776	280177	AC004408.2	TEC
17	40473554	1735	279806	AC018629.1	TEC
17	40597113	1472	279775	AC004585.2	TEC
17	43360041	1320	279602	AC109326.1	TEC
17	44689858	3482	279879	AC091152.4	TEC
17	45531577	2261	266918	AC091132.3	TEC
17	45592621	748	280022	AC126544.1	TEC
17	49494223	3577	279036	AC015656.1	TEC
17	50362967	2265	279792	AC015909.5	TEC
17	50722074	2150	278963	AC005921.3	TEC
17	51183191	3212	279089	AC005839.1	TEC
17	51761260	2137	279743	AC002090.1	TEC
17	54956760	1666	279059	AC007485.2	TEC
17	56471142	2505	279606	AC006600.2	TEC
17	57277920	2097	279555	AC091181.1	TEC
17	57448218	2073	279281	AC015883.1	TEC
17	57531769	586	280028	AC007431.3	TEC
17	59362665	613	278863	AC091059.2	TEC
17	62003700	3818	279133	AC018628.1	TEC
17	62679403	1951	279713	AC080038.3	TEC
17	63700847	1823	279369	AC046185.3	TEC
17	67611277	2545	279917	AC079331.2	TEC
17	67637774	1199	279361	AC079331.1	TEC
17	67955314	1977	279573	AC134407.2	TEC
17	67973934	2138	279880	AC134407.3	TEC
17	69433084	2449	278972	AC015920.1	TEC
17	75130883	2160	279035	AC022211.4	TEC
17	76090308	1361	279382	AC018665.1	TEC
17	76966285	3245	280122	AC016168.3	TEC
17	77444704	2463	279801	AC111170.3	TEC
17	77571418	1098	279572	AC021683.4	TEC
17	78008421	434	279600	AC015804.1	TEC
17	78250346	586	279886	AC087645.3	TEC
17	78691266	713	279570	AC099804.1	TEC
17	78897264	2888	279339	AC100788.2	TEC
17	80147250	1346	279259	AC087741.3	TEC
17	80339898	2160	280248	AC124319.3	TEC
17	80463451	2142	279273	AC120024.4	TEC
17	81003335	1797	280351	AC127496.7	TEC
17	81262920	2481	279187	AC027601.4	TEC
17	81395609	1535	279692	AC110285.6	TEC
17	81862778	324	278876	AC145207.9	TEC
17	82035403	397	279372	AC137723.1	TEC
17	82249067	2777	280407	AC132872.4	TEC
17	82362349	847	278964	AC132938.4	TEC
17	82462601	1654	279744	AC132938.5	TEC
17	82648849	1808	279613	AC124283.5	TEC
17	83132647	3503	279143	AC139099.3	TEC
18	12199345	744	279285	AP005264.5	TEC
18	12279427	3312	280302	AP005264.6	TEC
18	13279415	695	279275	AP002505.2	TEC
18	13710249	235	279962	AP001525.1	TEC
18	14010054	863	279352	AC006557.6	TEC
18	14990707	2528	279042	AP005242.4	TEC
18	24135468	361	279332	AC090772.4	TEC
18	25200976	1861	279439	AC105114.1	TEC
18	30780006	418	279734	AC090506.2	TEC
18	31982899	3188	280380	AC009831.4	TEC
18	34221007	596	280406	AC104985.3	TEC
18	35082009	233	280096	AC015967.2	TEC
18	35257040	472	279989	AC011815.3	TEC
18	35483431	236	279074	AC007998.5	TEC
18	35972151	1765	278986	AC091060.1	TEC
18	37305295	1038	279678	AC090386.2	TEC
18	37473330	647	279543	AC129908.1	TEC
18	40062903	3568	279034	AC011266.1	TEC
18	43499173	663	278933	AC022743.1	TEC
18	44732575	740	280365	AC021766.1	TEC
18	44986109	3094	279319	AC105074.1	TEC
18	46385707	1376	279829	AC015959.1	TEC
18	46915021	602	279354	AC090373.1	TEC
18	47076117	477	280212	AC012254.5	TEC
18	47501172	1934	279367	AC102797.2	TEC
18	47866839	528	279707	AC120349.3	TEC
18	47912207	297	279366	AC120349.2	TEC
18	48147634	3230	278891	AC105101.1	TEC
18	48564795	3547	278983	AC048380.2	TEC
18	48661840	795	279629	AC048380.3	TEC
18	48755693	625	279250	AC022919.1	TEC
18	49013106	713	280335	AC016866.3	TEC
18	52409042	215	280098	AC011155.1	TEC
18	69659837	3576	279221	AC068254.2	TEC
18	70489630	1575	278971	AC091305.1	TEC
18	73921939	692	278902	AC010947.1	TEC
18	76385642	3764	280205	AC009716.2	TEC
18	77002849	3997	279811	AC093330.2	TEC
18	77108284	2253	279433	AC018529.3	TEC
18	79085134	1301	279416	AC099689.3	TEC
18	79144752	2166	279474	AC125437.2	TEC
18	79352458	2109	279077	AC023090.2	TEC
18	79420836	1944	279637	AC018445.3	TEC
18	79496058	2290	279981	AC018445.4	TEC
18	79515798	259	279397	AC018445.2	TEC
19	68403	775	282542	AC008993.1	TEC
19	69167	805	282798	AC008993.2	TEC
19	1038727	337	279753	AC011558.1	TEC
19	1372238	2126	279488	AC004623.1	TEC
19	1576939	147	279009	AC005943.2	TEC
19	2002580	1001	279653	AC004678.2	TEC
19	2949035	1609	279452	AC006277.1	TEC
19	3355554	401	280103	AC007792.1	TEC
19	3371395	207	279599	AC005514.1	TEC
19	3567278	681	279590	AC005786.4	TEC
19	4246339	1019	280247	AC005578.1	TEC
19	4448810	2026	280239	AC011498.7	TEC
19	8695721	600	279426	AC243312.1	TEC
19	11208195	507	279807	AC011472.5	TEC
19	11856032	2270	278897	AC020951.1	TEC
19	13081966	598	279044	AC007787.2	TEC
19	15383202	630	279203	AC005785.2	TEC
19	15398696	1660	279716	AC006128.1	TEC
19	15904556	2678	279717	AC005336.3	TEC
19	16019719	571	280412	AC004790.2	TEC
19	16074293	3102	279198	AC008894.3	TEC
19	16356329	1998	280332	AC020917.4	TEC
19	16586905	2504	279748	AC008764.9	TEC
19	16610374	1829	279977	AC008764.10	TEC
19	17622447	891	279300	AC008761.3	TEC
19	17871273	432	279617	AC005796.1	TEC
19	18009440	441	279172	AC020904.3	TEC
19	18448275	527	279262	AC010335.2	TEC
19	18448275	530	280121	AC010335.3	TEC
19	19255638	503	280282	AC138430.2	TEC
19	20207192	2597	279039	AC011447.6	TEC
19	20220597	1589	280079	AC011447.7	TEC
19	20926777	1937	279404	AC008739.6	TEC
19	21965708	2821	279377	AC003973.2	TEC
19	24078481	2188	279425	AC092279.2	TEC
19	27639300	365	279882	AC112702.1	TEC
19	29506966	2075	279387	AC011474.4	TEC
19	30553956	4102	280061	AC011504.1	TEC
19	31364297	1801	278875	AC025809.2	TEC
19	34949038	2167	280106	AC008555.6	TEC
19	36070239	831	280023	AD000813.1	TEC
19	36114362	784	279504	AD001527.2	TEC
19	37401404	2442	279936	AC008806.1	TEC
19	40355842	4764	279759	AC118344.2	TEC
19	40840159	1880	279108	AC008537.3	TEC
19	41551568	706	280014	AC243960.10	TEC
19	42242775	2198	279539	AC006486.2	TEC
19	43891233	4178	278917	AC006213.6	TEC
19	44246478	1896	279103	AC138470.1	TEC
19	44664131	2027	279095	AC243964.4	TEC
19	44909375	5593	280087	AC011481.3	TEC
19	45714387	2994	279407	AC007191.1	TEC
19	46636810	2351	279161	AC093503.2	TEC
19	46946535	2621	279948	AC008895.1	TEC
19	47487638	1881	279861	AC073548.1	TEC
19	47661657	2238	278999	AC008985.1	TEC
19	48198107	1613	280353	AC011466.4	TEC
19	50962197	584	279676	AC011483.3	TEC
19	55467438	496	279063	AC008735.5	TEC
19	56127236	230	279959	AC024580.2	TEC
19	56149817	673	279794	AC024580.1	TEC
19	57293083	1386	279541	AC005261.5	TEC
2	687799	549	280360	AC092159.3	TEC
2	16541690	4005	279663	AC104623.2	TEC
2	23616499	1488	279526	AC011239.2	TEC
2	30408170	176	280154	AC073255.1	TEC
2	30677762	2133	278908	AC132154.1	TEC
2	32563328	3108	279544	AL133243.4	TEC
2	36839922	2617	279519	AC007382.1	TEC
2	44927914	482	278957	AC012354.9	TEC
2	46668870	1908	279254	AC020604.1	TEC
2	63517892	1376	279485	AC016734.1	TEC
2	73761269	512	280037	AC092653.2	TEC
2	73998337	211	279181	AC110801.1	TEC
2	97094935	2498	279791	AC018892.3	TEC
2	104706612	894	279904	AC068057.2	TEC
2	112188364	2271	278962	AC092645.1	TEC
2	112840328	3867	280228	AC079753.1	TEC
2	113605867	2041	279267	AL078621.1	TEC
2	113904086	1172	279957	AC110769.3	TEC
2	121688203	1511	279721	AC018737.2	TEC
2	123850522	173	279874	AC064859.1	TEC
2	136230753	2492	279024	AC112255.1	TEC
2	144494265	2613	279166	AC009951.4	TEC
2	145874520	325	279876	AC079248.2	TEC
2	148044380	514	281469	AC019226.1	TEC
2	148062154	423	281772	AC019226.2	TEC
2	160849313	1363	279844	AC096656.1	TEC
2	161433874	3584	280105	AC009487.3	TEC
2	172423807	366	278924	AC078883.3	TEC
2	174545385	950	279884	AC010894.4	TEC
2	176189919	2619	279160	AC009336.2	TEC
2	176822030	1623	279205	AC092162.3	TEC
2	180801227	306	279559	AC104820.1	TEC
2	191154118	1952	280083	AC079777.1	TEC
2	196831975	215	280176	AC012486.1	TEC
2	216211404	2115	279348	AC012513.3	TEC
2	219427477	1842	280323	AC053503.5	TEC
2	225761559	553	279015	AC016717.3	TEC
2	230410700	1829	279964	AC009949.1	TEC
2	234082259	2231	279218	AC006037.2	TEC
2	242001209	4804	280119	AC093642.3	TEC
20	1320710	3657	280162	AL136531.3	TEC
20	20363691	1966	280229	AL161658.1	TEC
20	23071547	1175	279447	AL118508.3	TEC
20	23148086	1853	279164	AL118508.2	TEC
20	25226448	287	279322	AL035252.4	TEC
20	51098138	707	279835	AL121785.1	TEC
20	56522252	1247	280387	AL109806.1	TEC
20	57161822	1953	280220	AL157414.3	TEC
21	5703182	2455	279186	FP236315.2	TEC
21	6034690	1403	279769	CU639417.2	TEC
21	6520344	326	279226	FP236240.2	TEC
21	7135334	2455	279303	CU634019.3	TEC
21	8101251	2455	279967	FP671120.5	TEC
21	8235354	478	286155	FP671120.10	TEC
21	8237649	330	286252	FP671120.11	TEC
21	8238859	233	286057	FP671120.9	TEC
21	8240736	311	286012	FP671120.8	TEC
21	8417757	478	286267	FP236383.13	TEC
21	8420675	328	286146	FP236383.9	TEC
21	8421883	233	286054	FP236383.7	TEC
21	8423760	311	286178	FP236383.12	TEC
21	8462320	478	286149	FP236383.11	TEC
21	8465254	332	286032	FP236383.6	TEC
21	8466466	233	286091	FP236383.8	TEC
21	8468320	311	286148	FP236383.10	TEC
21	10028361	1494	280372	CR382285.2	TEC
21	13679300	1838	279773	AL050303.3	TEC
21	15050189	2190	279390	AF127577.6	TEC
21	15346652	86	280082	AF246928.1	TEC
21	16525919	1100	280432	AP000962.2	TEC
21	17705408	2047	279648	AP000432.2	TEC
21	18917213	216	279156	AL157359.3	TEC
21	25371827	216	279534	AP001340.1	TEC
21	32790673	831	279690	AP000280.2	TEC
21	39023000	835	288266	AF064858.3	TEC
22	30275215	1736	279699	AC004264.2	TEC
22	36137430	1920	279805	Z95114.3	TEC
22	37943050	1848	278948	AL031587.5	TEC
22	39379610	405	280216	AL022326.2	TEC
22	44183031	4708	279933	AL031595.1	TEC
22	44486295	619	279642	AL023973.1	TEC
22	46006616	4161	280424	BX537318.2	TEC
22	47115838	1379	278881	FP325331.1	TEC
22	47259366	1641	280312	Z83836.1	TEC
3	15731877	659	279465	AC090950.2	TEC
3	36823151	2007	281100	AC105749.1	TEC
3	44115818	1669	280435	AC006058.4	TEC
3	45749627	1024	279017	AC098476.1	TEC
3	47346950	2123	280173	AC104447.1	TEC
3	51951849	2053	280422	AC115284.2	TEC
3	52217016	1996	280003	AC097637.2	TEC
3	52848085	468	279144	AC099667.1	TEC
3	53046166	1956	280417	AC096887.2	TEC
3	73624410	3216	278934	AC117489.1	TEC
3	112525548	2594	279349	AC092692.1	TEC
3	124791119	1985	280042	AC022336.3	TEC
3	126432796	1773	279328	AC073439.1	TEC
3	126973065	3361	280053	AC011199.1	TEC
3	128914833	227	279507	AC112484.4	TEC
3	130868004	1353	284095	AC055733.4	TEC
3	138482065	3690	280399	AC022497.1	TEC
3	141936707	1840	279147	AC112504.1	TEC
3	144442211	3633	280397	AC011592.1	TEC
3	146504570	1990	279320	AC069528.2	TEC
3	154334809	2238	279305	AC134026.2	TEC
3	158869898	1923	279311	AC092999.1	TEC
3	171460612	1644	279673	AC092919.2	TEC
3	187383101	1748	280270	AC068299.2	TEC
4	6691995	975	279859	AC093323.2	TEC
4	6697861	948	282742	AC093323.3	TEC
4	19098199	541	279918	AC006840.1	TEC
4	19257951	386	279379	AC024595.1	TEC
4	37866561	530	279386	AC021106.2	TEC
4	56662469	3225	280285	AC108215.1	TEC
4	99844138	558	279913	AP001962.1	TEC
4	99942081	441	279098	AC097460.2	TEC
4	136553236	503	279749	AC093875.1	TEC
4	137601899	534	280352	AC116563.2	TEC
4	145830456	2524	279481	AC104791.2	TEC
4	146180851	465	279845	AC097372.2	TEC
4	146231892	375	280250	AC097372.3	TEC
4	147487971	8091	280219	AC093908.1	TEC
4	148819351	605	279016	AC093648.1	TEC
4	156876435	385	280284	AC092608.3	TEC
4	156886645	217	278880	AC092608.2	TEC
4	157818101	471	279703	AC017037.3	TEC
4	157945817	825	279994	AC017037.4	TEC
4	158109500	653	279139	AC098679.2	TEC
4	158111361	570	280140	AC098679.3	TEC
4	168843988	747	279384	AC080188.2	TEC
4	184014035	2347	283355	AC074194.2	TEC
4	184984277	3850	279460	AC112243.1	TEC
5	8458842	341	279075	AC091965.5	TEC
5	8685581	235	279125	AC091953.4	TEC
5	9498401	374	279698	AC027335.2	TEC
5	10541454	1738	280017	AC112200.2	TEC
5	10556582	233	279450	AC112200.1	TEC
5	21493436	1160	279107	AC138951.2	TEC
5	25349841	232	279671	AC106754.2	TEC
5	25425412	187	279531	AC022140.2	TEC
5	25716271	444	279869	AC022418.1	TEC
5	34105750	586	278900	AC139792.2	TEC
5	34124162	223	279995	AC139792.3	TEC
5	35895689	331	279737	AC112204.3	TEC
5	36667717	2241	279400	AC008957.3	TEC
5	43586367	1176	279557	AC010435.1	TEC
5	51963992	453	279470	AC091903.1	TEC
5	54286194	137	279638	AC008873.1	TEC
5	55484403	683	279883	AC010480.1	TEC
5	69186359	3093	280187	AC022107.1	TEC
5	131261321	286	279370	AC004777.1	TEC
5	131797415	514	279584	AC005593.1	TEC
5	133052769	202	279691	AC113410.3	TEC
5	133457805	526	280104	AC010608.3	TEC
5	133574829	469	279197	AC010608.2	TEC
5	134394360	648	279469	AC109454.4	TEC
5	134522613	483	280420	AC005355.2	TEC
5	134905235	456	279799	AC006077.2	TEC
5	142165767	2620	280047	AC091825.3	TEC
5	142946569	536	285366	AC008533.1	TEC
5	143375628	255	279679	AC091925.2	TEC
5	143406959	461	279130	AC091925.1	TEC
5	159106380	2237	279204	AC134043.3	TEC
5	168128856	1566	279739	AC011369.2	TEC
5	169012148	998	279752	AC011389.2	TEC
5	175903874	497	280068	AC138965.2	TEC
5	177476631	3025	279821	AC145098.2	TEC
5	180810401	983	280161	AC022413.1	TEC
6	2561947	2196	280423	AL359852.1	TEC
6	3982673	1457	279926	AL138831.3	TEC
6	6685148	1836	279368	AL031123.3	TEC
6	21822536	201	280443	AL136313.1	TEC
6	28170845	1676	280107	AL022393.1	TEC
6	30282349	3705	280128	AL662795.2	TEC
6	37567716	3744	279942	AL353597.3	TEC
6	39818751	4476	281969	AL592158.1	TEC
6	44551577	1704	279076	AL136140.2	TEC
6	49721931	2076	279127	AL121950.1	TEC
6	71386852	3977	279289	AL136164.3	TEC
6	73971346	1769	279790	AL590552.1	TEC
6	79573877	1653	279659	AL451064.2	TEC
6	80440730	442	279022	AL359715.4	TEC
6	85498441	617	280232	AL589666.2	TEC
6	88172261	3501	279565	AL121835.2	TEC
6	88964527	2060	280277	AL079342.3	TEC
6	93811825	1211	280451	AL356094.1	TEC
6	94397664	1165	279403	AL078595.3	TEC
6	107697299	2919	280135	AL096816.1	TEC
6	108178871	446	279398	AL078596.1	TEC
6	108359084	779	279498	AL356121.2	TEC
6	122436789	2434	279453	Z99129.4	TEC
6	122471923	12238	279114	Z99129.3	TEC
6	131910191	1336	280058	AL117378.2	TEC
6	132130252	1543	280155	AL021408.2	TEC
6	132891924	1895	279960	AL137783.1	TEC
6	145789270	2703	280184	AL023806.3	TEC
6	166388136	1784	280057	AL022069.2	TEC
6	168820423	233	280665	AL513210.2	TEC
6	169033381	669	279810	AL109924.3	TEC
7	227554	2003	249852	AC145676.1	TEC
7	27380562	644	279655	AC004009.3	TEC
7	27412164	727	279429	AC004009.2	TEC
7	48847766	3859	279578	AC004899.2	TEC
7	57402181	2536	280225	AC237221.2	TEC
7	66474556	1193	279785	AC008267.7	TEC
7	75625089	1881	279996	AC004491.1	TEC
