# Derived from Homo_sapiens.GRCh38.102.chr.gtf.gz in http://ftp.ensembl.org/pub/release-102/gtf/homo_sapiens/
# Chromosome	Start	Name
20	54944444	AURKA
8	48685668	PRKDC
19	6677845	C3
22	46546498	PPARA
11	36505316	TRAF6
1	32739711	LCK
13	43148290	TNFSF11
X	146993468	FMR1
2	38294745	CYP1B1
10	123237843	FGFR2
1	101185195	VCAM1
20	6748744	BMP2
7	148504463	EZH2
3	38589552	SCN5A
17	57918626	MIR21
5	158741790	IL12B
18	29171729	TTR
11	2466220	KCNQ1
7	5566778	ACTB
4	23793643	PPARGC1A
3	46395234	CCR2
4	186990308	TLR3
19	44150246	PLAUR
X	135730335	CD40LG
11	122928199	HSPA8
1	114356432	PTPN22
6	31371343	MICA
18	45359465	SMAD2
X	122994016	XIAP
13	113760101	F7
9	93563961	SYK
10	6052656	IL2RA
1	154934773	SHC1
20	57466357	GNAS
7	106505722	PIK3CG
6	132269316	CTGF
14	55595934	LGALS3
1	150547026	MCL1
6	154360236	OPRM1
15	75041183	CYP1A2
8	42128819	IKBKB
4	76942268	CXCL10
21	46305868	ITGB2
17	7387697	POLR2A
10	101948054	CHUK
16	27325229	IL4R
10	17270257	VIM
19	7733971	RETN
14	104163953	XRCC3
4	1795038	FGFR3
1	11072678	TARDBP
9	101867370	TGFBR1
12	58141509	CDK4
1	161475204	FCGR2A
14	23305741	MMP14
7	75931874	HSPB1
15	39873279	THBS1
17	61994552	GH1
1	169691780	SELE
6	159186772	EZR
6	121756722	GJA1
3	30647993	TGFBR2
1	43391045	SLC2A1
8	90945563	NBN
9	35056064	VCP
20	43029895	HNF4A
1	12227059	TNFRSF1B
4	74269955	ALB
2	209100950	IDH1
6	31132113	POU5F1
3	142168076	ATR
12	6950017	GNB3
19	572453	BSG
X	31137344	DMD
8	27454433	CLU
11	118307204	KMT2A
4	55095263	PDGFRA
12	121416370	HNF1A
11	125495030	CHEK1
9	130548304	CDK9
17	42449548	ITGA2B
5	52285155	ITGA2
9	130911708	LCN2
9	137218308	RXRA
8	101930803	YWHAZ
7	17338275	AHR
20	23614293	CST3
14	75745480	FOS
22	42017345	XRCC6
6	88849584	CNR1
17	29421944	NF1
9	139780964	TRAF2
8	32453343	NRG1
11	116660085	APOA5
19	33790839	CEBPA
8	38268655	FGFR1
19	10244019	DNMT1
1	236958580	MTR
X	153770454	IKBKG
20	48807119	CEBPB
19	7804880	CD209
22	23522551	BCR
4	155484131	FGB
5	179233387	SQSTM1
7	44836234	PPIA
17	38465422	RARA
5	36152144	SKP2
3	50367216	RASSF1
16	23847299	PRKCB
16	1359627	UBE2I
2	216974019	XRCC5
5	68462836	CCNB1
1	226013001	EPHX1
19	51358170	KLK3
1	15817895	CASP9
4	15969848	PROM1
1	229566992	ACTA1
15	60639349	ANXA2
14	90863326	CALM1
19	30302900	CCNE1
7	155594933	SHH
2	29415639	ALK
3	121902529	CASR
13	41129800	FOXO1
6	33043702	HLA-DPB1
11	102391238	MMP7
11	116700623	APOC3
6	108882068	FOXO3
17	38544772	TOP2A
12	57522281	LRP1
6	170863420	TBP
11	77033059	PAK1
2	198351307	HSPD1
5	137801180	EGR1
9	130577290	ENG
6	45296053	RUNX2
4	142557748	IL15
8	56792385	LYN
5	149493401	PDGFRB
9	136287119	ADAMTS13
19	39734271	IFNL3
2	242792032	PDCD1
19	11071597	SMARCA4
7	148395932	CUL1
17	76352857	SOCS3
1	169558087	SELP
17	76849058	TIMP2
3	113847498	DRD3
1	161511549	FCGR3A
X	153576899	FLNA
4	177604684	VEGFC
7	105888731	NAMPT
10	115803805	ADRB1
20	39766160	PLCG1
15	66679210	MAP2K1
9	22002901	CDKN2B
2	128175995	PROC
7	80267831	CD36
7	100318422	EPO
8	42032235	PLAT
2	111878490	BCL2L11
14	54416454	BMP4
11	17406795	KCNJ11
18	58038563	MC4R
10	60094738	UBE2D1
16	31102162	VKORC1
12	117645946	NOS1
2	46524540	EPAS1
1	2005085	PRKCZ
4	100227543	ADH1B
8	6357174	ANGPT2
10	22610138	BMI1
20	36755788	TGM2
2	61705068	XPO1
8	37820513	ADRB3
3	14186647	XPC
12	49082240	CCNT1
19	8023456	ELAVL1
5	141000442	HDAC3
21	44473300	CBS
2	204571197	CD28
19	50162825	IRF3
2	162848754	DPP4
5	63255874	HTR1A
9	21077103	IFNB1
2	48010220	MSH6
7	19155090	TWIST1
15	45003684	B2M
6	161123224	PLG
16	2097895	TSC2
5	76011867	F2R
11	118964584	H2AFX
3	159706622	IL12A
16	3292027	MEFV
15	58724174	LIPC
12	7060433	PTPN6
14	81421868	TSHR
12	56473891	ERBB3
2	201983268	CFLAR
12	54789044	ITGA5
1	115247084	NRAS
1	8021713	PARK7
22	36677322	MYH9
2	37332283	EIF2AK2
8	143991974	CYP11B2
2	45879042	PRKCE
21	48018530	S100B
3	133464976	TF
10	103113789	BTRC
22	38071612	LGALS1
3	20081523	KAT2B
17	8108048	AURKB
13	108921976	TNFSF13B
4	155504277	FGA
2	9628614	ADAM17
15	48700502	FBN1
17	42422453	GRN
3	181429711	SOX2
11	117156401	BACE1
X	153759604	G6PD
1	65298905	JAK1
20	46130600	NCOA3
11	10326526	ADM
19	9945882	PIN1
17	4835569	GP1BA
3	38179968	MYD88
2	98330030	ZAP70
12	6644384	GAPDH
19	1205797	STK11
11	14990047	CALCA
11	34460471	CAT
16	72088490	HP
6	31973358	CYP21A2
1	155204238	GBA
5	7869216	MTRR
5	133492081	SKP1
6	6144310	F13A1
1	154377668	IL6R
16	16043433	ABCC1
2	232319458	NCL
17	57970406	RPS6KB1
19	35773248	HAMP
5	42423876	GHR
18	18529702	ROCK1
3	195776154	TFRC
16	11348273	SOCS1
1	55505148	PCSK9
5	76114801	F2RL1
6	91223291	MAP3K7
16	730110	STUB1
8	11700033	CTSB
17	17714662	SREBF1
16	89984286	MC1R
19	13049413	CALR
12	131356538	RAN
22	24129117	SMARCB1
20	48599512	SNAI1
17	40439884	STAT5A
12	4477392	FGF23
8	22877647	TNFRSF10B
22	41347350	RBX1
12	48366747	COL2A1
3	59733003	FHIT
7	94023872	COL1A2
4	99792834	EIF4E
1	43147905	YBX1
12	121570630	P2RX7
11	73685715	UCP2
2	9724095	YWHAQ
8	27179918	PTK2B
16	88709696	CYBA
9	21440452	IFNA1
8	39771327	IDO1
1	156785541	NTRK1
1	208059882	CD34
17	49230919	NME1
5	133532147	PPP2CA
20	39657457	TOP1
3	187439164	BCL6
19	17513747	BST2
5	131409484	CSF2
11	128328655	ETS1
9	5450502	CD274
1	247579457	NLRP3
8	30890777	WRN
16	31191430	FUS
6	35310334	PPARD
5	70220767	SMN1
2	102759235	IL1R1
17	15994883	NCOR1
2	16080559	MYCN
1	201328135	TNNT2
5	138940750	UBE2D2
7	150750898	CDK5
10	101542354	ABCC2
20	31350190	DNMT3B
7	24323806	NPY
1	153330329	S100A9
1	67632168	IL23R
10	104154334	NFKB2
2	25383721	POMC
1	198608097	PTPRC
17	42325757	SLC4A1
17	1247833	YWHAE
12	10524951	KLRK1
11	111779343	CRYAB
3	49394603	GPX1
2	218990012	CXCR2
10	54074040	DKK1
22	24823529	ADORA2A
13	113777112	F10
20	43514239	YWHAB
12	57489186	STAT6
6	138188324	TNFAIP3
1	115828536	NGF
7	44183869	GCK
2	20400557	SDC1
14	100705101	YY1
14	95552564	DICER1
4	122737598	CCNA2
11	1773981	CTSD
6	30457182	HLA-E
11	64570985	MEN1
22	39619363	PDGFB
4	84213613	HPSE
17	45728561	KPNB1
3	154797435	MME
16	31271287	ITGAM
9	87284594	NTRK2
6	18128544	TPMT
13	52506805	ATP7B
12	13714409	GRIN2B
9	113006091	TXN
3	119499330	NR1I2
1	25226001	RUNX3
20	49126857	PTPN1
10	95351592	RBP4
4	123533782	IL21
19	41497203	CYP2B6
17	66031717	KPNA2
12	120648241	PXN
5	180663927	GNB2L1
9	32455299	DDX58
19	41349442	CYP2A6
17	62396776	PECAM1
19	40736223	AKT2
21	39751949	ERG
17	47572654	NGFR
17	40962149	BECN1
1	20959947	PINK1
6	33540322	BAK1
12	125262173	SCARB1
6	32407618	HLA-DRA
5	131817300	IRF1
15	75661719	SIN3A
19	55663135	TNNI3
1	152274650	FLG
11	6624937	ILK
6	160952514	LPA
11	70049268	FADD
12	124808956	NCOR2
10	8096666	GATA3
12	54674473	HNRNPA1
18	46446222	SMAD7
11	31806339	PAX6
6	3064121	RIPK1
17	4613788	ARRB2
12	103232103	PAH
17	1733272	RPA1
17	16284106	UBB
8	108261709	ANGPT1
X	100604434	BTK
11	61066918	DDB1
17	70117160	SOX9
17	40351194	STAT5B
4	103715539	UBE2D3
19	15270443	NOTCH3
17	56078279	SRSF1
10	45869613	ALOX5
11	112831968	NCAM1
6	22287472	PRL
9	125133283	PTGS1
13	28536204	CDX2
17	57697049	CLTC
3	39304984	CX3CR1
X	113818550	HTR2C
11	13513591	PTH
12	66218239	HMGA2
18	25530926	CDH2
14	25100160	GZMB
17	34415602	CCL3
5	151040656	SPARC
5	159912358	MIR146A
7	92234234	CDK6
6	74225472	EEF1A1
11	102813720	MMP13
22	29999544	NF2
5	40759480	PRKAA1
17	3468739	TRPV1
15	91260557	BLM
2	212240441	ERBB4
17	80036213	FASN
9	86582997	HNRNPK
17	73163824	SUMO2
11	3876932	STIM1
20	23026269	THBD
11	18501857	TSG101
X	48660422	HDAC6
16	222845	HBA2
15	89859535	POLG
17	7533411	SHBG
4	155525285	FGG
2	182321618	ITGA4
2	166845669	SCN1A
8	18067611	NAT1
3	46477495	LTF
2	24807345	NCOA1
12	21284127	SLCO1B1
17	1324646	CRK
11	101981191	YAP1
6	31633656	CSNK2B
7	45927958	IGFBP1
3	24158644	THRB
21	26946291	MIR155
5	174867674	DRD1
2	49189295	FSHR
15	56119116	NEDD4
1	153516097	S100A4
9	15464064	PSIP1
9	75766646	ANXA1
2	162999378	GCG
6	30687977	TUBB
11	64037299	BAD
15	32322685	CHRNA7
X	153275956	IRAK1
4	146403956	SMAD1
11	47279467	NR1H3
12	72332625	TPH2
11	2398546	CD81
1	45794913	MUTYH
20	30193085	ID1
5	35856976	IL7R
11	94150468	MRE11A
1	171604556	MYOC
15	72491369	PKM
2	179390716	TTN
7	30951308	AQP1
6	33286334	DAXX
7	73442118	ELN
14	92524895	ATXN3
17	79476996	ACTG1
3	186330849	AHSG
11	65622284	CFL1
8	7752086	DEFB4A
8	145515250	HSF1
12	21525801	IAPP
9	136130562	ABO
19	2249277	AMH
3	48264836	CAMP
1	203148058	CHI3L1
19	852208	ELANE
6	26020717	HIST1H3A
12	2162415	CACNA1C
19	38924339	RYR1
1	218518625	TGFB2
20	55743808	BMP7
11	57529233	CTNND1
X	138612894	F9
6	135502452	MYB
1	153362507	S100A8
6	32812985	TAP1
22	33196801	TIMP3
19	6772678	VAV1
1	228612545	HIST3H3
11	102217912	BIRC2
15	75074424	CSK
11	70244611	CTTN
7	41724711	INHBA
X	153126968	L1CAM
2	173292282	ITGA6
4	41258897	UCHL1
3	55499742	WNT5A
9	110247132	KLF4
11	102188180	BIRC3
11	104896236	CASP1
22	29663997	EWSR1
12	10310898	OLR1
2	239969863	HDAC4
4	153242409	FBXW7
15	58887402	ADAM10
17	38710021	CCR7
13	103498190	ERCC5
X	48644981	GATA1
12	57853917	GLI1
6	34204576	HMGA1
1	11905766	NPPA
1	204123943	REN
6	31795511	HSPA1B
6	44214694	HSP90AB1
6	136878186	MAP3K5
17	1665218	SERPINF1
11	18042083	TPH1
X	37639269	CYBB
16	2138710	PKD1
X	12885201	TLR7
17	43861645	CRHR1
X	70835765	CXCR3
12	53342842	KRT18
14	23881946	MYH7
17	64208146	APOH
19	11487880	EPOR
5	55230924	IL6ST
5	179673027	MAPK9
11	65479472	KAT5
9	35673914	CA9
9	98205263	PTCH1
11	2185158	TH
15	29991570	TJP1
4	2845583	ADD1
4	100257648	ADH1C
1	209859524	HSD11B1
15	91411821	FURIN
22	18216905	BID
1	43824625	CDC20
12	11802787	ETV6
9	80331189	GNAQ
20	30639990	HCK
17	47481409	PHB
17	66508519	PRKAR1A
2	31749655	SRD5A2
19	1609288	TCF3
16	75262927	BCAR1
X	15579155	ACE2
10	115439427	CASP7
8	37888019	EIF4EBP1
5	131877135	IL5
8	23048969	TNFRSF10A
12	9220303	A2M
10	112836789	ADRA2A
3	165490690	BCHE
2	25455829	DNMT3A
1	16450831	EPHA2
4	120980578	MAD2L1
15	90627210	IDH2
3	157154579	PTX3
3	25469753	RARB
16	57406372	CX3CL1
9	27109138	TEK
5	135364583	TGFBI
X	48542185	WAS
8	79645006	IL7
17	73717407	ITGB4
6	134490383	SGK1
9	6215785	IL33
1	173872941	SERPINC1
11	68080076	LRP5
16	28616907	SULT1A1
12	104324111	HSP90B1
12	8754761	AICDA
X	115301957	AGTR2
2	189839098	COL3A1
1	207494816	CD55
12	2966846	FOXM1
9	127243514	NR5A1
6	32485153	HLA-DRB5
9	117781853	TNC
3	69985750	MITF
6	46672052	PLA2G7
5	131892615	RAD50
19	59055835	TRIM28
8	67955314	COPS5
5	179125929	CANX
1	167399876	CD247
3	121774208	CD86
10	6469104	PRKCQ
2	188343305	TFPI
22	21903735	UBE2L3
13	113863818	CUL4A
3	33840062	PDCD6IP
4	15779887	CD38
7	107301079	SLC26A4
1	151227196	PSMD4
1	231762560	DISC1
16	58191811	CSNK2A2
4	72607410	GC
17	42987034	GFAP
17	48133331	ITGA3
2	48913912	LHCGR
14	24686056	NEDD8
8	101715143	PABPC1
11	5684424	TRIM5
19	13317255	CACNA1A
2	175936977	ATF2
12	53290970	KRT8
5	86564069	RASA1
10	81697495	SFTPD
11	17414431	ABCC8
2	70674411	TGFA
19	10596795	KEAP1
12	122692208	DIABLO
1	154554533	ADAR
2	203241049	BMPR2
X	70443055	GJB1
10	124221040	HTRA1
13	33590570	KL
20	43248159	ADA
4	74301935	AFP
1	204159468	KISS1
3	93591880	PROS1
14	36985603	NKX2-1
15	43699411	TP53BP1
9	100437190	XPA
13	110406183	IRS2
19	18496769	GDF15
18	24432001	AQP4
13	46627321	CPB2
1	207669472	CR1
1	110453232	CSF1
9	140033608	GRIN1
19	55327892	KIR3DL1
1	207925382	CD46
11	18287771	SAA1
1	21835850	ALPL
14	93389444	CHGA
3	184032282	EIF4G1
18	74690788	MBP
12	88886569	KITLG
14	75408532	PGF
12	28115253	PTHLH
1	169659805	SELL
2	174771186	SP3
10	33486546	NRP1
Y	21152525	CD24
20	10618331	JAG1
14	50359735	ARF6
14	103243815	TRAF3
12	49578577	TUBA1A
11	67033904	ADRBK1
14	96671134	BDKRB2
13	78469615	EDNRB
19	17935592	JAK3
11	67165651	PPP1CA
1	227058272	PSEN2
1	112162404	RAP1A
4	39289068	RFC1
17	36046433	HNF1B
12	110719031	ATP2A2
17	7093209	DLG4
6	132129155	ENPP1
7	95034173	PON2
6	32793186	TAP2
15	25582395	UBE3A
16	14014013	ERCC4
5	180034752	FLT4
1	204485506	MDM4
1	33116748	RBBP4
8	74857372	TCEB1
5	159848916	PTTG1
1	9211726	MIR34A
10	90694830	ACTA2
9	123714613	C5
5	137890570	HSPA9
17	61905043	PSMC5
3	129247481	RHO
2	191894301	STAT4
9	90340973	CTSL
16	30483982	ITGAL
2	47596286	EPCAM
4	148999914	NR3C2
4	108968700	LEF1
15	35080296	ACTC1
4	122589151	ANXA5
11	116691417	APOA4
10	96796528	CYP2C8
5	141971742	FGF1
8	11561659	GATA4
1	27189632	SFN
16	9847261	GRIN2A
7	26229555	HNRNPA2B1
2	39208689	SOS1
18	55714457	NEDD4L
3	119243139	CD80
9	90113449	DAPK1
12	91537053	DCN
6	160390130	IGF2R
1	186798031	PLA2G4A
7	97361270	TAC1
10	31610063	ZEB1
9	123664670	TRAF1
15	90931472	IQGAP1
17	72744750	SLC9A3R1
11	74971165	ARRB1
12	57910370	DDIT3
1	97543299	DPYD
1	8921058	ENO1
9	124062078	GSN
3	136649316	NCK1
5	137620953	CDC25C
6	52656177	GSTA1
16	10971054	CIITA
1	45976706	PRDX1
5	58264865	PDE4D
9	135766734	TSC1
2	225334866	CUL3
1	23345940	KDM1A
8	141541263	AGO2
12	56732662	IL23A
2	215590369	BARD1
5	176513872	FGFR4
2	219027567	CXCR1
3	169940219	PRKCI
19	4090319	MAP2K2
4	56294067	CLOCK
12	100867550	NR1H4
12	68642024	IL22
1	202909952	ADIPOR1
14	95078713	SERPINA3
12	6309481	CD9
9	136501484	DBH
7	128580723	IRF5
17	39910858	JUP
21	35818985	KCNE1
17	39679868	KRT19
7	99690350	MCM7
18	61144143	SERPINB5
5	70220767	SMN2
6	10396915	TFAP2A
8	117962511	SLC30A8
15	78887646	CHRNA3
15	78857861	CHRNA5
3	46283871	CCR3
10	94211440	IDE
1	26210676	STMN1
16	55690351	SLC6A2
20	10199445	SNAP25
7	75956107	YWHAG
7	30464142	NOD1
16	67596309	CTCF
1	156638555	NES
9	75515577	ALDH1A1
20	3063201	AVP
11	33724555	CD59
17	38171613	CSF3
1	182808438	DHX9
3	193310932	OPA1
4	57844805	POLR2B
17	34431219	CCL4
1	228270360	ARF1
1	12123433	TNFRSF8
3	127317199	MCM2
9	118916070	PAPPA
16	2587964	PDPK1
11	89057521	NOX4
7	100487614	ACHE
19	10828728	DNM2
4	148402068	EDNRA
1	86046443	CYR61
18	52889561	TCF4
14	105886185	MTA1
8	71021996	NCOA2
16	78133309	WWOX
12	7941991	NANOG
14	69340839	ACTN1
19	43011457	CEACAM1
8	67088611	CRH
19	50180408	PRMT1
2	217498126	IGFBP2
11	47352956	MYBPC3
2	223158348	PAX3
3	19988571	RAB5A
1	27425299	SLC9A1
11	47376408	SPI1
5	147204142	SPINK1
6	43139032	SRF
14	76424403	TGFB3
1	223282747	TLR5
11	88911039	TYR
7	50344264	IKZF1
1	32479294	KHDRBS1
9	27546543	C9orf72
19	45417811	APOC1
17	62494371	DDX5
6	137518620	IFNGR1
1	20301923	PLA2G2A
18	59992519	TNFRSF11A
6	15523038	DTNBP1
5	110407389	TSLP
12	52908358	KRT5
X	64887510	MSN
20	50003493	NFATC2
12	118573688	PEBP1
9	131445933	SET
8	49830238	SNAI2
17	38219067	THRA
10	124214178	ARMS2
20	61974661	CHRNA4
22	21271713	CRKL
8	42195972	POLB
12	6456008	SCNN1A
16	337439	AXIN1
12	122064454	ORAI1
19	39138255	ACTN4
5	68530621	CDK7
10	50662525	ERCC6
1	161592987	FCGR3B
1	120477735	NOTCH2
17	15133093	PMP22
5	133307565	VDAC1
6	26021906	HIST1H4A
19	8959519	MUC16
1	94458393	ABCA4
8	86376130	CA2
22	30636435	LIF
11	3732783	NUP98
6	37137921	PIM1
1	167298280	POU2F1
14	30045686	PRKD1
16	2821414	TCEB2
22	29190547	XBP1
10	112631552	PDCD4
19	55525074	GP6
11	64948685	CAPN1
4	1205227	CTBP1
4	120238404	FABP2
14	55308723	GCH1
1	245013601	HNRNPU
19	54385437	PRKCG
1	26872342	RPS6KA1
17	32612686	CCL11
21	46934628	SLC19A1
7	73113534	STX1A
12	93802087	UBE2N
5	82373227	XRCC4
1	149856009	HIST2H2BE
14	21156931	ANG
22	39916563	ATF4
11	61560108	FEN1
4	74735108	CXCL1
4	83274466	HNRNPD
3	122140747	KPNA1
19	1086577	POLR2E
10	72357103	PRF1
12	109015679	SELPLG
X	70586088	TAF1
16	69389463	TERF2
11	73711325	UCP3
17	74380689	SPHK1
10	81370694	SFTPA1
3	196769430	DLG1
X	47494918	ELK1
1	161632904	FCGR2B
5	74632992	HMGCR
Y	2654895	SRY
19	49496704	RUVBL2
12	64845839	TBK1
20	32951040	ITCH
22	39436672	APOBEC3F
17	4534213	ALOX15
17	45195062	CDC27
X	41193414	DDX3X
16	89803958	FANCA
11	5269501	HBG1
17	26694298	VTN
16	8985950	USP7
10	127700953	ADAM12
15	40453209	BUB1B
5	139712427	HBEGF
9	132575220	TOR1A
3	10068070	FANCD2
2	27719705	GCKR
7	79765070	GNAI1
12	120105760	PRKAB1
17	11924134	MAP2K4
2	219246751	SLC11A1
20	33759739	PROCR
21	46875423	COL18A1
6	31913720	CFB
12	56119226	CD63
5	149432853	CSF1R
1	110276553	GSTM3
10	94449680	HHEX
10	78629358	KCNMA1
3	196466727	PAK2
1	237205701	RYR2
15	63334837	TPM1
12	54624730	CBX5
1	212738675	ATF3
16	66400509	CDH5
11	2904447	CDKN1C
6	78170564	HTR1B
14	64854758	MTHFD1
18	77155771	NFATC1
2	109335936	RANBP2
4	6271576	WFS1
12	49372235	WNT1
12	7623411	CD163
3	185360918	IGF2BP2
X	100098312	NOX1
5	149599053	CAMK2A
16	82660398	CDH13
1	24200459	CNR2
5	172195092	DUSP1
2	234580543	UGT1A9
6	20534687	CDKAL1
5	148810208	MIR145
8	6728096	DEFB1
X	100652778	GLA
2	228678557	CCL20
17	7185053	SLC2A4
4	38797875	TLR1
12	109535922	UNG
22	32340478	YWHAH
15	68346516	PIAS1
17	79650961	HGS
10	13142081	OPTN
5	68788589	OCLN
17	5336098	C1QBP
6	41902670	CCND3
3	148890289	CP
4	187187117	F11
15	44038589	PDIA3
12	52416615	NR4A1
X	133594174	HPRT1
3	8792094	OXTR
7	142457318	PRSS1
21	46225531	SUMO3
4	24797084	SOD3
3	190023489	CLDN1
1	156211752	BGLAP
13	110801304	COL4A1
11	102582525	MMP8
4	88928798	PKD2
10	75757871	VCL
1	150782180	ARNT
1	116915794	ATP1A1
5	176829138	F12
5	37812778	GDNF
11	5274420	HBG2
11	102733459	MMP12
1	17345224	SDHB
3	48198667	CDC25A
11	44587140	CD82
3	186435097	KNG1
16	67973786	LCAT
21	42792484	MX1
7	6010555	PMS2
