#Species1: homo_sapiens
#Assembly: GRCh37
#Species2: mus_musculus
#Assembly: GRCm38
# eweitz: Using GRCh38 instead of GRCh37.  TODO: Support `assemblies` in multi-organism Ideogram.
# eweitz: Provenance: http://webclu.bio.wzw.tum.de/cgi-bin/syntenymapper/get-species-list.py
#ID	Chromosome_spec1	Start_spec1	End_spec1	Chromosome_spec2	Start_spec2	End_spec2	Dir
44547	chr16	226593	3234624	chr17	23538949	26287152	-1
44749	chr7	149628652	149959773	chr5	26764198	27145211	-1
44747	chr7	107772206	112136146	chr12	40169807	44612010	-1
44600	chr20	122697	1447942	chr2	151493855	152490713	-1
44748	chr7	112138919	149583263	chr6	13285181	48548714	1
44601	chr20	1736101	25606620	chr2	129268201	151041402	1
44745	chr7	102331617	105210094	chr5	21387292	23823649	1
44746	chr7	105210238	107772185	chr12	31127323	33397844	-1
44743	chr7	97598308	99229367	chr5	144011022	145295301	1
44604	chr2	172258	9278318	chr12	24724000	31005222	-1
44744	chr7	99552841	102191754	chr5	136054653	138343840	-1
44605	chr2	9354723	10284917	chr12	21117743	24718062	1
44741	chr7	76702246	92676514	chr5	3149760	21478890	-1
44602	chr20	29933153	58056214	chr2	152552259	174914539	1
44742	chr7	92745197	97502117	chr6	3370884	7693721	1
44603	chr20	58148222	62907435	chr2	178115331	181857507	1
44608	chr2	29033520	51697828	chr17	71551896	91666767	1
44740	chr7	76282730	76575579	chr3	147376246	147647569	-1
44609	chr2	51709987	53258858	chr17	91687205	93067288	1
44606	chr2	10303009	26361943	chr12	3246833	17772828	-1
44607	chr2	26394466	29024462	chr5	30104452	32493209	1
# eweitz: adjusting End_spec1 to account for shorter GRCh38 length
#44511	chr12	132378991	133522542	chr5	110111748	110810314	-1
44511	chr12	132378991	133275309	chr5	110111748	110810314	-1
44511	chr12	132378991	133275309	chr5	110111748	110810314	-1
44510	chr12	110488793	132295812	chr5	114897591	129574701	1
44513	chr13	20207279	23370461	chr14	56667799	59114578	1
44512	chr13	19984716	20127461	chr8	22288603	22428120	-1
44515	chr13	25188452	25511922	chr14	56309299	56659931	1
44709	chr6	33468736	39058058	chr17	26991575	30940880	1
44514	chr13	23853398	24896355	chr14	60436128	61232618	1
44517	chr13	26784894	34255105	chr5	146205519	151432528	1
44516	chr13	25685086	26649237	chr14	59604022	60443681	-1
44519	chr13	41469941	49799059	chr14	72528564	79619527	-1
44518	chr13	34480780	41254213	chr3	52255693	57172676	-1
44712	chr6	49781671	52568703	chr1	18105967	21298224	1
44713	chr6	52656530	55784577	chr9	75718342	78305531	-1
44610	chr2	53882943	68694726	chr11	16951089	31106366	-1
44714	chr6	56223874	58686221	chr1	32797302	34410557	-1
44611	chr2	68715037	71029275	chr6	86012653	87670397	-1
44715	chr6	61967179	73919940	chr1	21383786	32919328	-1
44612	chr2	71032443	87095119	chr6	71307510	85783157	-1
44716	chr6	74104388	86360515	chr9	78395705	88493523	1
44717	chr6	87793887	100245013	chr4	21433779	34909481	-1
44718	chr6	100545979	115615397	chr10	35370949	51414554	-1
44719	chr6	115641850	117047499	chr10	33904748	35349084	-1
44617	chr2	107383985	108811511	chr17	54065375	55562809	-1
44618	chr2	109065537	110378718	chr10	58255381	59230044	1
44619	chr2	111483204	113472729	chr2	127833881	129248509	1
44613	chr2	87451650	87996071	chr2	128232468	128577531	-1
44614	chr2	88302422	89174373	chr6	70709020	71300806	-1
44710	chr6	39069766	39266486	chr14	20070371	20248588	1
44615	chr2	95642277	97040617	chr2	127102473	127726705	-1
44711	chr6	39266498	49681826	chr17	40764505	49942373	-1
44616	chr2	97163937	106819719	chr1	36266323	43830196	1
44520	chr13	49821990	50161404	chr14	59199883	59598016	-1
44524	chr13	103237605	103533914	chr1	43917041	44220159	1
44523	chr13	53226033	103089581	chr14	79586900	124715603	1
44522	chr13	52435459	53211718	chr8	21969038	22428050	-1
44521	chr13	50194237	52356487	chr14	61306608	62973097	1
44528	chr14	25157192	35731371	chr12	44636775	55372806	1
44527	chr14	22599976	25149959	chr14	53806199	56305237	1
44526	chr14	20203607	22568483	chr14	50139453	53379039	1
# eweitz: adjusting End_spec1 to account for shorter GRCh38 length
#44525	chr13	103533915	115092930	chr8	4784449	13882143	1
44525	chr13	103533915	114364328	chr8	4784449	13882143	1
44529	chr14	35732479	52251174	chr12	55373868	70926425	1
# eweitz: adjusting End_spec1 to account for shorter GRCh38 length
#44725	chr6	167854348	170893754	chr17	13479154	15527344	1
44725	chr6	167854348	170805979	chr17	13479154	15527344	1
44622	chr2	114171139	114321953	chr19	24833413	24987663	-1
44726	chr7	115497	6771649	chr5	138683002	144037705	-1
44623	chr2	114436107	122578025	chr1	118266815	125630785	-1
44723	chr6	155053083	160101646	chr17	3113738	7931992	-1
44620	chr2	113478073	113650007	chr2	129251226	129414490	1
44724	chr6	160103032	167552070	chr17	7009630	13015648	1
44621	chr2	113723845	114137444	chr2	24169741	24574863	1
44729	chr7	19753413	22528893	chr12	117403499	120028364	-1
44727	chr7	7132996	12532546	chr6	7776454	13265464	1
44728	chr7	12561752	19748810	chr12	33429467	40167682	-1
44628	chr2	133138389	138607743	chr1	125649015	130367123	1
44629	chr2	138721435	139545160	chr2	23311315	24049473	-1
44721	chr6	123289910	150189735	chr10	7584101	33648792	-1
44626	chr2	128848553	131911027	chr1	34578747	36244488	1
44722	chr6	150394771	154997844	chr10	3273222	7334464	1
44627	chr2	132604281	132726313	chr16	86509643	86676410	-1
44624	chr2	122585948	126347698	chr1	113373822	117122935	1
44720	chr6	117047677	123151435	chr10	51568950	57836072	1
44625	chr2	127336328	128786667	chr18	31633488	32591649	-1
44809	chrY	28358518	28544030	chr1	134780249	134938733	1
44808	chrY	14832491	14945874	chrY	1324779	1449027	-1
44775	chr9	27325073	38472099	chr4	34948949	45867416	1
44636	chr21	14535253	14714360	chr16	86494850	86646034	1
44774	chr9	6847129	27300706	chr4	74296565	94930630	1
44635	chr21	10369840	10592667	chr3	44327271	44524226	1
44777	chr9	42028291	42246766	chr3	44339274	44524369	1
44638	chr21	43490502	45122943	chr17	30953888	32065118	1
44776	chr9	38669561	40707569	chr13	64459464	64924398	1
44637	chr21	15515528	43438088	chr16	75548585	97967873	1
44771	chr8	97247028	97373828	chr13	66904678	67022822	1
44770	chr8	87057363	97246782	chr4	9771398	19951484	-1
# eweitz: adjusting End_spec1 to account for shorter GRCh38 length
#44639	chr21	45278940	48084912	chr10	76207174	78362709	-1
44639	chr21	45278940	46709983	chr10	76207174	78362709	-1
44773	chr9	51374	6659223	chr19	24833413	30187793	1
# eweitz: adjusting End_spec1 to account for shorter GRCh38 length
#44772	chr8	97474088	146219998	chr15	32864741	76942430	1
44772	chr8	97474088	145138636	chr15	32864741	76942430	1
44630	chr2	140049991	188395329	chr2	39462126	84468284	1
44779	chr9	43623473	43941731	chr13	64732947	64924398	-1
44778	chr9	42878326	42992726	chr12	48187289	48310045	-1
44631	chr2	189007277	190504466	chr1	44337306	46007489	1
# eweitz: adjusting End_spec1 to account for shorter GRCh38 length
#44634	chr2	234655488	242812118	chr1	88165705	94061470	1
44634	chr2	234655488	242193529	chr1	88165705	94061470	1
44633	chr2	196592790	234639137	chr1	53390299	88201948	1
44509	chr12	108325357	110486420	chr5	113369198	114823567	1
44507	chr12	55356210	104351507	chr10	86684831	130362527	-1
44508	chr12	104359309	108176937	chr10	82629583	85934351	1
44505	chr12	33206361	34258165	chr15	89677442	90336577	1
44506	chr12	38607141	55049456	chr15	90141800	103605301	1
44503	chr12	9901365	32537434	chr6	129260166	149563499	1
44504	chr12	32634919	33054761	chr16	16210044	16575210	-1
44501	chr12	2903120	7695890	chr6	124282595	128439748	-1
44780	chr9	45446787	46090508	chr3	44321170	44524369	-1
44502	chr12	8058143	9163872	chr6	122269254	122970148	-1
44500	chr12	93470	2853076	chr6	118574258	121530061	-1
44788	chr9	91041174	97067712	chr13	48482933	53373458	-1
44649	chr3	61304	12100543	chr6	103287397	115182487	1
44787	chr9	86231955	90340399	chr13	58157310	60906415	1
# eweitz: adjusting End_spec1 to account for shorter GRCh38 length
#44648	chr22	35962951	51222438	chr15	76987260	89593936	1
44648	chr22	35962951	50818468	chr15	76987260	89593936	1
44786	chr9	82993521	86215136	chr4	70646276	74203146	-1
44647	chr22	33658332	35953121	chr8	72801597	75226506	1
44785	chr9	70836757	82777364	chr19	14032853	24982242	-1
44646	chr22	32783299	33472414	chr10	85938375	86516585	1
44784	chr9	69516666	69631006	chr12	48187289	48310045	1
44783	chr9	69086307	69276137	chr19	24794980	24987663	1
44782	chr9	68139917	68294733	chr3	44365992	44524369	1
44781	chr9	65585614	65900860	chr13	64590857	64781971	-1
44641	chr22	19010381	22338262	chr16	16870059	18970424	-1
44640	chr22	17565811	18659740	chr6	120463160	121270649	1
44645	chr22	32022117	32511666	chr5	32742604	33162866	1
44644	chr22	29168591	32022116	chr11	3125666	5542304	-1
44643	chr22	25201765	29156283	chr5	110824032	113311187	-1
44789	chr9	97320957	99426803	chr13	62836826	64315512	1
44642	chr22	23396488	25031504	chr10	74952597	75951395	1
44751	chr7	150588373	157210205	chr5	24261695	29786445	1
44750	chr7	150032467	150560867	chr6	48566136	48991443	1
44753	chr8	347986	5358752	chr8	13899559	17847449	1
44658	chr3	52350060	57931230	chr14	26403529	31326235	-1
44752	chr7	157225645	158937901	chr12	116077459	117363837	-1
44657	chr3	46435723	52346387	chr9	106126486	111067936	-1
44755	chr8	8108776	9640417	chr8	34825950	36197607	-1
44754	chr8	5368147	6693649	chr8	17851317	18951493	1
44659	chr3	57993765	64009700	chr14	7817648	14121407	1
44757	chr8	12579073	17958954	chr8	36215432	41387355	1
44654	chr3	23146386	27708725	chr14	14513053	18990432	-1
44756	chr8	9670110	11741703	chr14	63088183	64627441	-1
44653	chr3	16307831	20231899	chr17	49949823	53691404	1
44759	chr8	20206584	29151199	chr14	64628603	72390183	-1
44656	chr3	37269243	46423369	chr9	118496106	124130422	1
44758	chr8	18121969	20177976	chr8	67445407	69199907	1
44655	chr3	27753690	37261140	chr9	111085833	118489893	-1
44650	chr3	12116639	12897372	chr6	115186280	115904389	1
44652	chr3	15245114	16307830	chr14	31334024	32086769	1
44651	chr3	12939278	15163105	chr6	90659513	92225474	1
44802	chrX	114569624	114885545	chrX	75784744	76187798	-1
44762	chr8	42691750	43058925	chr8	25938411	26164209	-1
44803	chrX	115210308	117585111	chrX	21426712	23807203	1
44761	chr8	36716542	42494912	chr8	22443277	27235730	-1
44800	chrX	62853720	93428087	chrX	95047893	123093676	1
44760	chr8	29190466	36677574	chr8	27633048	34822045	-1
44801	chrX	93448016	114517895	chrX	126241964	147595970	1
44806	chrY	2925306	6001979	chrX	117438784	121538413	1
44766	chr8	63094926	64018516	chr4	19973253	20870610	-1
44807	chrY	6833990	6963244	chrX	77553587	77663011	1
44765	chr8	56650304	62695565	chr4	3548795	9748900	1
44804	chrX	117586665	140073167	chrX	35841711	61461914	1
44764	chr8	50711529	56562647	chr1	3007339	9473382	-1
44669	chr3	167857105	182818465	chr3	20589734	36002735	1
44805	chrX	140387016	154494231	chrX	61477598	75578652	1
44763	chr8	48206338	49865275	chr16	14673384	16115097	-1
44668	chr3	149055816	167822106	chr3	57250443	75980806	1
44667	chr3	148467535	148965303	chr3	19944261	20309471	-1
44769	chr8	76197937	87055271	chr3	3360807	15264301	1
44666	chr3	138372654	148087492	chr9	90313788	99187995	-1
44768	chr8	67315826	76126636	chr1	9522893	17933852	1
44665	chr3	129931635	138353358	chr9	99226664	106051732	-1
44767	chr8	64075897	67315825	chr3	16180801	19879141	1
44664	chr3	129094932	129614527	chr6	115806965	116194868	1
44663	chr3	125725101	129038484	chr6	87674445	90646506	1
44662	chr3	93527487	125343459	chr16	33161368	62962067	-1
44661	chr3	75865702	90309600	chr16	62881283	75533196	-1
44660	chr3	64018604	75322601	chr6	92299158	103322172	1
44673	chr4	1109142	3875778	chr5	33182566	35345527	1
44674	chr4	4184743	49083612	chr5	35362009	73455161	1
44671	chr3	195428230	197771581	chr16	31331835	33128381	1
44672	chr4	493106	1052659	chr5	108312904	108732170	1
44677	chr4	95284699	119338945	chr3	123402515	142468432	-1
# eweitz: adjusting End_spec1 to account for shorter GRCh38 length
#44471	chr10	121224592	135295738	chr7	128352135	140324030	1
44471	chr10	121224592	133797422	chr7	128352135	140324030	1
44678	chr4	119339188	119512723	chr1	176655189	176788708	-1
44472	chr1	868618	59012766	chr4	103313482	156255944	-1
44675	chr4	52689038	89000187	chr5	73474529	104554127	1
44676	chr4	89178698	95273100	chr6	57506421	65173645	1
44470	chr10	89234113	121219507	chr19	32464796	61096217	1
44679	chr4	119596924	120703320	chr3	122650393	123398607	-1
44476	chr1	89964234	93744300	chr5	105398283	108233016	1
44475	chr1	68587129	89738135	chr3	142496995	159939079	-1
44474	chr1	67631910	68317098	chr6	66879582	67492079	-1
44473	chr1	59120351	67562099	chr4	94942000	103237090	1
44670	chr3	182965714	195325931	chr16	19751540	31331466	1
44479	chr1	121149401	121350677	chr13	117108512	117294964	1
44478	chr1	120754434	120887322	chr1	131443764	131570347	1
44477	chr1	93905157	120696915	chr3	97923872	122635709	-1
44682	chr4	141251922	150892329	chr8	75285334	83466229	-1
44683	chr4	150966383	161234271	chr3	77964638	86963080	-1
44684	chr4	161249741	163096512	chr3	76056436	77950148	-1
# eweitz: adjusting End_spec1 to account for shorter GRCh38 length
#44685	chr4	163504024	190884657	chr8	41397192	67397345	-1
44685	chr4	163504024	190214555	chr8	41397192	67397345	-1
44686	chr5	191425	7935441	chr13	68549350	74364187	-1
44480	chr1	143881371	144095755	chr1	131362719	131552941	-1
44687	chr5	8927745	42888975	chr15	3204663	32759390	-1
44481	chr1	144676687	158154741	chr3	86995712	98079133	-1
44688	chr5	43118966	45905854	chr13	117455584	119792229	-1
44482	chr1	158516903	207534964	chr1	130438104	174449617	-1
44689	chr5	49569996	84371909	chr13	87867820	117393818	-1
44483	chr1	207575939	227596392	chr1	179878773	195221090	-1
44485	chr1	229364940	235324774	chr8	123785623	126971321	1
44484	chr1	227919753	228703212	chr11	58914864	59455955	-1
44487	chr1	240253393	247125743	chr1	174500059	179829250	1
44486	chr1	235330060	240084659	chr13	9868918	14199516	-1
44489	chr11	3631069	17367525	chr7	102078678	116585245	1
44488	chr11	192898	3254669	chr7	140845391	143785351	1
44681	chr4	122226321	141190230	chr3	36174060	52217184	1
44680	chr4	120963079	122194687	chr6	65464882	66545657	-1
44699	chr5	147647374	150177176	chr18	60473714	62616539	-1
44493	chr11	51393429	51539057	chr2	89590178	89949106	1
44494	chr11	55080583	57753858	chr2	84482732	89636020	-1
44697	chr5	134073478	137090938	chr13	55622620	58129378	1
44491	chr11	26296397	48658712	chr2	89612979	110992460	-1
44698	chr5	137225085	147624774	chr18	34409343	44120958	1
44492	chr11	49250334	49809240	chr7	87110275	87809323	1
44695	chr5	112310736	130339352	chr18	44375798	60158609	1
44696	chr5	130492423	134063627	chr11	51692237	54871650	-1
44490	chr11	17403485	25251145	chr7	46095173	55382773	1
44693	chr5	102759315	110063021	chr17	58872500	65541337	1
44694	chr5	110280120	112296881	chr18	32693163	34406440	1
44794	chrX	9688235	9917528	chrX	152609950	152812207	-1
44795	chrX	10415591	23849592	chrX	155158835	169990102	-1
# eweitz: adjusting End_spec1 to account for shorter GRCh38 length
#44792	chr9	131071714	141019156	chr2	24603787	32260019	-1
44792	chr9	131071714	138394717	chr2	24603787	32260019	-1
44793	chrX	8786970	9687806	chrX	76679975	77663011	1
44798	chrX	48313856	51358982	chrX	5950887	8283460	-1
44592	chr19	15052169	15262910	chr10	78517989	78848038	-1
44799	chrX	53076531	55952784	chrX	150528171	153256439	1
44593	chr19	15270296	15808207	chr17	32120683	32703222	1
44796	chrX	23850309	37316857	chrX	78449334	94419133	-1
44590	chr19	8919008	11689880	chr9	18453561	22131963	1
44797	chrX	37351130	47520178	chrX	9123341	20963334	1
44591	chr19	12757314	14683008	chr8	83566637	85097602	-1
44597	chr19	48800017	51921957	chr7	43407760	45948906	-1
44596	chr19	45010010	48707700	chr7	13248768	19990222	-1
44595	chr19	28589680	44892279	chr7	24112264	40956348	-1
44594	chr19	16163040	19774937	chr8	69790826	72763463	-1
44791	chr9	123526077	131061546	chr2	32262616	39227149	-1
44790	chr9	100037894	123488942	chr4	45868083	70543346	1
# eweitz: adjusting End_spec1 to account for shorter GRCh38 length
#44599	chr19	58523795	59089552	chr7	12693882	13055446	1
44599	chr19	58523795	58617616	chr7	12693882	13055446	1
44598	chr19	54290058	57500128	chr7	3217668	6870348	1
44692	chr5	98419736	102728411	chr1	94124209	98366482	-1
44691	chr5	96202316	98405239	chr17	15580598	17652916	-1
44690	chr5	84536341	96144383	chr13	74639306	87762280	-1
44499	chr11	107452617	134905367	chr9	25868827	53983435	-1
44498	chr11	89860533	107436639	chr9	3335322	18398308	-1
44497	chr11	71627032	89350901	chr7	87110277	102077983	-1
44496	chr11	68728143	71212974	chr7	143795071	145322691	-1
44495	chr11	57876119	68709722	chr19	3259831	13863080	-1
44571	chr17	62948919	66110690	chr11	106839164	109458491	-1
44570	chr17	62763342	62904518	chr11	103349028	103627376	1
44700	chr5	150381711	154330989	chr11	54879365	58173928	1
44702	chr5	171946752	172722349	chr17	26332564	26897412	1
44701	chr5	154331837	171932313	chr11	32302764	48784302	-1
44704	chr5	173752427	177039611	chr13	53454507	55613285	1
44703	chr5	172736725	173711253	chr11	31352048	32158830	1
44706	chr6	181261	20060798	chr13	30560052	48468852	1
44705	chr5	177531363	180585244	chr11	49109634	51659306	-1
44708	chr6	29322703	33297218	chr17	33905469	37499901	-1
44707	chr6	20065223	28502803	chr13	21286365	30278614	-1
44578	chr18	10202644	11518916	chr18	62703663	63634628	1
44579	chr18	11733895	13871680	chr18	67117155	68392391	1
44576	chr18	861722	2534400	chr17	93154343	94724813	1
44577	chr18	2534401	9972541	chr17	65559487	71551481	-1
44574	chr18	112543	599224	chr18	9581968	10072843	-1
44575	chr18	683166	844532	chr5	32579187	32713133	-1
44572	chr17	66230030	77543928	chr11	109416643	118864433	1
44573	chr17	77598073	81175056	chr11	118825230	121814939	1
44580	chr18	15016525	15155234	chr16	86494850	86676410	-1
44582	chr18	41355914	54244819	chr18	68493456	79979377	-1
44581	chr18	18528605	41073893	chr18	10062979	31575992	1
44587	chr19	4229082	6940573	chr17	55952477	57484035	1
44588	chr19	7112183	8134482	chr8	3150854	4370424	1
44589	chr19	8366687	8809231	chr17	33432803	33849048	-1
44583	chr18	54267924	58227765	chr18	63662017	67012748	1
44584	chr18	58351903	65328593	chr1	103799016	112065734	1
44585	chr18	66339761	78010601	chr18	80039752	90544102	-1
44586	chr19	281181	4172050	chr10	79526953	81597886	-1
44457	chr10	27398972	27531240	chr2	23068036	23198413	-1
44458	chr10	27747786	28913566	chr18	6728483	7930808	1
44455	chr10	5915452	15456077	chr2	3092087	11794990	-1
44558	chr16	46693273	69976105	chr8	85258780	107558975	1
44456	chr10	15469949	27157072	chr2	12002382	23056726	1
44559	chr16	70109527	74345713	chr8	107575739	111223825	-1
44454	chr10	138698	5865622	chr13	3521760	9802796	-1
44552	chr16	16252815	16388674	chr7	45981667	46084218	1
44553	chr16	16681590	18325190	chr7	116609720	118107853	-1
44550	chr16	15260325	15369270	chr7	116609720	116785797	-1
44551	chr16	15478874	16187414	chr16	13940517	14452729	1
44556	chr16	28390845	29030948	chr7	126351385	126695624	-1
44557	chr16	29661006	31520748	chr7	126671255	128301303	1
44459	chr10	28950711	32687040	chr18	3491584	6539677	1
44554	chr16	18608156	21351663	chr7	117960011	120342706	1
44555	chr16	21572755	28339524	chr7	120632570	126297793	1
44560	chr16	74442043	90110030	chr8	111068486	123536787	1
44461	chr10	35284099	35510295	chr18	3254260	3439199	-1
44460	chr10	33041295	35152269	chr8	127035385	128868054	-1
44466	chr10	51917603	54540082	chr19	30217474	32404076	-1
44569	chr17	60375827	62760387	chr11	105031048	107082305	1
44467	chr10	55195100	74862972	chr10	59316668	74913026	-1
44468	chr10	74870164	81966585	chr14	20294635	26091915	-1
44469	chr10	82021566	88976316	chr14	34226628	41127266	-1
44462	chr10	35620918	37094546	chr18	7985900	9459278	-1
44463	chr10	37191655	37402201	chr7	94884735	95095123	1
44464	chr10	43277986	46169707	chr6	116263032	118419663	-1
44465	chr10	46488677	51727392	chr14	32141371	34301282	1
44561	chr17	2	16472951	chr11	62127364	76748976	1
44562	chr17	16917258	21332322	chr11	59629605	62904896	1
44563	chr17	25525650	28853901	chr11	76726541	79332362	-1
44564	chr17	29058377	36191607	chr11	79305715	84918982	-1
44565	chr17	36351926	43638822	chr11	97235045	103627376	1
44566	chr17	43706746	45150591	chr11	103403801	104479713	-1
44567	chr17	45152315	45518436	chr11	104372065	104760643	1
44568	chr17	45560334	60329072	chr11	84933097	97323973	1
