#chromosome	arm	band	iscn_start	iscn_stop	bp_start	bp_stop	stain	density
14	q	E2.3	200	215	100111725	107620104	gpos	100
14	q	E3	215	222	107620105	111124014	gneg	
14	q	E4	222	242	111124015	121135187	gpos	100
14	q	E5	242	250	121135188	125139656	gneg	
15	p	ter	0	1	0	1	gneg	
15	q	A1	1	36	2	16505119	gpos	100
15	q	A2	36	53	16505120	24299204	gneg	
15	q	B1	53	65	24299205	29800911	gpos	33
15	q	B2	65	70	29800912	32093288	gneg	
15	q	B3.1	70	94	32093289	43096702	gpos	100
15	q	B3.2	94	98	43096703	44930604	gneg	
15	q	B3.3	98	109	44930605	49973835	gpos	66
15	q	C	109	117	49973836	53641639	gneg	
15	q	D1	117	145	53641640	66478955	gpos	100
15	q	D2	145	150	66478956	68771333	gneg	
15	q	D3	150	169	68771334	77482368	gpos	66
15	q	E1	169	183	77482369	83901026	gneg	
15	q	E2	183	190	83901027	87110355	gpos	33
15	q	E3	190	209	87110356	95821391	gneg	
15	q	F1	209	221	95821392	101323097	gpos	66
15	q	F2	221	223	101323098	102240048	gneg	
15	q	F3	223	227	102240049	104073951	gpos	33
16	p	ter	0	1	0	1	gneg	
16	q	A1	1	33	2	15401409	gpos	100
16	q	A2	33	35	15401410	16334828	gneg	
16	q	A3	35	44	16334829	20535212	gpos	33
16	q	B1	44	56	20535213	26135724	gneg	
16	q	B2	56	69	26135725	32202946	gpos	33
16	q	B3	69	82	32202947	38270168	gneg	
16	q	B4	82	96	38270169	44804099	gpos	33
16	q	B5	96	115	44804100	53671577	gneg	
16	q	C1.1	115	124	53671578	57871962	gpos	66
16	q	C1.2	124	126	57871963	58805380	gneg	
16	q	C1.3	126	143	58805381	66739440	gpos	66
16	q	C2	143	151	66739441	70473115	gneg	
16	q	C3.1	151	169	70473116	78873883	gpos	100
16	q	C3.2	169	170	78873884	79340593	gneg	
16	q	C3.3	170	196	79340594	91475036	gpos	100
16	q	C4	196	210	91475037	98008968	gneg	
17	p	ter	0	1	0	1	gneg	
17	q	A1	1	32	2	13988212	gpos	100
17	q	A2	32	37	13988213	16173870	gneg	
17	q	A3.1	37	40	16173871	17485265	gpos	33
17	q	A3.2	40	50	17485266	21856582	gneg	
17	q	A3.3	50	72	21856583	31473478	gpos	66
17	q	B1	72	92	31473479	40216111	gneg	
17	q	B2	92	95	40216112	41527506	gpos	33
17	q	B3	95	105	41527507	45898822	gneg	
17	q	C	105	128	45898823	55952850	gpos	66
17	q	D	128	138	55952851	60324167	gneg	
17	q	E1.1	138	156	60324168	68192536	gpos	100
17	q	E1.2	156	158	68192537	69066800	gneg	
17	q	E1.3	158	168	69066801	73438116	gpos	100
17	q	E2	168	180	73438117	78683696	gneg	
17	q	E3	180	190	78683697	83055012	gpos	33
17	q	E4	190	204	83055013	89174855	gneg	
17	q	E5	204	218	89174856	95294699	gpos	33
18	p	ter	0	1	0	1	gneg	
18	q	A1	1	46	2	19410023	gpos	100
18	q	A2	46	70	19410024	29536992	gneg	
18	q	B1	70	84	29536993	35444391	gpos	66
18	q	B2	84	88	35444392	37132219	gneg	
18	q	B3	88	108	37132220	45571360	gpos	100
18	q	C	108	118	45571361	49790930	gneg	
18	q	D1	118	128	49790931	54010500	gpos	100
18	q	D2	128	129	54010501	54432457	gneg	
18	q	D3	129	144	54432458	60761813	gpos	100
18	q	E1	144	161	60761814	67935082	gneg	
18	q	E2	161	178	67935083	75108352	gpos	33
18	q	E3	178	198	75108353	83547493	gneg	
18	q	E4	198	215	83547494	90720763	gpos	33
19	p	ter	0	1	0	1	gneg	
19	q	A	1	41	2	16676954	gpos	100
19	q	B	41	63	16676955	25625564	gneg	
19	q	C1	63	86	25625565	34980929	gpos	66
19	q	C2	86	94	34980930	38234969	gneg	
19	q	C3	94	117	38234970	47590334	gpos	66
19	q	D1	117	127	47590335	51657884	gneg	
19	q	D2	127	145	51657885	58979474	gpos	33
19	q	D3	145	151	58979475	61420004	gneg	
X	p	ter	0	1	0	1	gneg	
X	q	A1.1	1	32	2	15628965	gpos	100
X	q	A1.2	32	37	15628966	18070991	gneg	
X	q	A1.3	37	43	18070992	21001422	gpos	33
X	q	A2	43	57	21001423	27839094	gneg	
X	q	A3.1	57	68	27839095	33211551	gpos	66
X	q	A3.2	68	70	33211552	34188361	gneg	
X	q	A3.3	70	81	34188362	39560818	gpos	66
X	q	A4	81	97	39560819	47375300	gneg	
X	q	A5	97	114	47375301	55678188	gpos	66
X	q	A6	114	128	55678189	62515861	gneg	
X	q	A7.1	128	141	62515862	68865128	gpos	66
X	q	A7.2	141	144	68865129	70330343	gneg	
X	q	A7.3	144	157	70330344	76679610	gpos	66
X	q	B	157	167	76679611	81563662	gneg	
X	q	C1	167	185	81563663	90354955	gpos	100
X	q	C2	185	187	90354956	91331765	gneg	
X	q	C3	187	205	91331766	100123058	gpos	100
X	q	D	205	223	100123059	108914351	gneg	
X	q	E1	223	244	108914352	119170860	gpos	100
X	q	E2	244	246	119170861	120147670	gneg	
X	q	E3	246	274	120147671	133823015	gpos	100
X	q	F1	274	287	133823016	140172282	gneg	
X	q	F2	287	302	140172283	147498359	gpos	33
X	q	F3	302	317	147498360	154824437	gneg	
X	q	F4	317	332	154824438	162150514	gpos	33
X	q	F5	332	347	162150515	169476592	gneg	
Y	p	ter	0	1	0	4072168	gneg	
Y	q	A1	1	36	4072169	23733522	gpos	100
Y	q	A2	36	57	23733523	35202646	gpos	66
Y	q	B	57	79	35202647	47217918	gpos	33
Y	q	C1	79	95	47217919	55956298	gpos	100
Y	q	C2	95	108	55956299	63056232	gpos	33
Y	q	C3	108	126	63056233	72886909	gpos	100
Y	q	D	126	145	72886910	83263735	gpos	33
Y	q	E	145	160	83263736	91455967	gpos	66
